Board,Algorithm,Time(s),Steps,Memory(MB)
1,BFS,0.10,21,-
1,Beam4,0.07,24,-
1,AStar1,0.06,21,-
1,AStar2,0.07,21,-
1,MovesFreedHeuristic,0.06,34,
2,BFS,0.19,15,-
2,Beam4,0.09,16,-
2,AStar1,0.10,15,-
2,AStar2,0.11,15,-
2,MovesFreedHeuristic,0.08,20,
3,BFS,0.38,33,-
3,Beam4,0.31,39,-
3,AStar1,0.45,33,-
3,AStar2,0.47,33,-
3,MovesFreedHeuristic,0.33,49,
4,BFS,28.12,27,394
4,Beam4,2.39,34,50
4,AStar1,19.23,27,273
4,AStar2,16.57,27,219
4,MovesFreedHeuristic,2.6,56,30
5,BFS,972.17,22,10024
5,Beam4,29.23,37,384
5,AStar1,787.51,22,8711
5,AStar2,556.16,22,6896
5,MovesFreedHeuristic,26.04,47,844
6,BFS,2427,18,22094
6,Beam5,202.12,46,2546
6,AStar1,1869.17,18,17713
6,AStar2,1448.25,18,14754
6,MovesFreedHeuristic,12.50,65,360
